esac_id,relationship,end_date,last_reviewed,data_url,members
acm2021hebis,,2028-12-31,2026-05-13,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich
aip2024tib,,2026-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vR3I7WD-wMJfVblBeZDPSEynACNE-yKHWOWIFa8HjKiXP3iAzswfn7iUnoLQw1MY7u5mnhiBlyqUY53/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich
aps2025tib,,2028-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vSShIzSxtXvvHO4igSVNMeLXGPQVXOm1VcDfi7uRgrAtULsV-Bx_6MCif6WRMo8cJ4VJh9kK4YVWhhb/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-munich;uni-stuttgart
cam2025gac,,2027-12-31,2026-04-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vToT3Gvwthkh6U2dCZi_niM-TdjC7u_EAHfxenekx1yu4QoUYAAtqud7XugZOICSu6PtgZPZQipXWry/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart
dgb2026gac,Economics,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vTL9PJzdJzgrVfUZ6Bu0NWvFJlDiyecUhAXTqz6zYUqVypsFr1FPp3enGDgoFjdd8pjrU7iu2U1NgGs/pub?gid=684626521&single=true&output=csv,leibniz-hannover;tu-berlin;tu-braunschweig;tu-dresden
dgb2026gac,HSS,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4TaoUIEDlyw_foN45QauA6EjNja3SadBsyNK-C81w8vxra2nrYg8Gf8_ROfBU-ArcfADIOUlJ2Izx/pub?gid=684626521&single=true&output=csv,tu-braunschweig;tu-dresden;uni-stuttgart
ecs2026tib,,2026-12-31,2026-04-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vShRQog18Why6P_pSObW-NxIj_RYcnKUUCiBmavdKbSFVX9DsS-l_QmMEpb2VvfwM5DIM421IASMTAM/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-munich;uni-stuttgart
els2023deal,,2028-12-31,2026-06-02,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4WW4nOZMM9GLBd0SXPOKm0NPrQUhE8MMfGEQheL56MxXZsizPY-Xd24Jpd858ToZAXqicNGdmRzMf/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
hogrefe2024gac,,2026-12-31,2026-02-20,https://docs.google.com/spreadsheets/d/e/2PACX-1vSY157jI3y9w1umCNDk1qzjbzU0tdsaLdOJ-TeGMVL2acT43rFU_UdQKaaBuu5nNL1UaAolMFjlocOc/pub?gid=684626521&single=true&output=csv,leibniz-hannover;tu-braunschweig;tu-darmstadt;tu-dresden
iop2026tib,,2028-12-31,2026-06-11,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8BaUlp4XH_rqB0eQQz_PE7jgUj1l94ejqEc_bxirWbDv1JYzErJm3cU93rrhU5WLCAIPudiATKpQE/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
oxf2025braunschweig,,2027-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vSahSOY4Xho2eKztHbVL3EFeey1K1VW5Iwlm2CTNIwX6i___nLr0006JPEjGG9xjwnL8BU5M8K_41l4/pub?gid=684626521&single=true&output=csv,tu-braunschweig
rsc2024tib,,2027-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vTOG5wQkOyBKLy3-yrnj74gVIhVGvgBaoFmVWwMWcsAYBP7BPZ8W4loyvaki-nK_kji66As8OhtHHo8/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart
sage2026gac,IMechE,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vS44vZJ1QqgYtZS3_gadB-ihkhQs1OWexPd5XIcxvSR9mBQBkLdKlR5NYTrSGRzjklU_Yr_M8ZLsXiX/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart
sage2026gac,Premier 2026,2028-12-31,2026-06-24,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ2GXa84DKrfF9yMtRXens3OEqHNX-Axuq-t0rkr7abgU1Pmm6UUNe3KI8H0opbJV0CQfBfTHewr4w4/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart
sage2026gac,RSM,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vQikZX6cUCigL5VjlOGFO3Fsm3dfxhP2a6I6Ott-oj_dU1X6OsL8qTnm4iKZ1ew7PcYrAYrbdO0t4Rc/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart
sn2024deal,,2028-12-31,2026-06-04,https://docs.google.com/spreadsheets/d/e/2PACX-1vSTnXIQ9sXzkETUdAB9xwrgxa2lWxjfB4e7m7U6_xP_H4aTUviHVMdaa2rgVlrRBdhn7G_68p_r2CtT/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
tf2024zbw,,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtONT2327w3_yKoRkj9XwFrvzjQ49LAKsdNtCIayxexNPYZdDdVkSbuKkQ_1diG6vdOFs_AyvY0gqS/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
wiley2024deal,,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwDMte3KF7yXk6M3skE4PNikV9sXUgTfTlLZgSbgy3Py-CLpYq69HpnCmYIbuhI8V5oLFHdPphEcd4/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
